"DOCUMENTACIÓN","Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses"
"UNIDADES","Porcentaje"
"FRECUENCIA","Diaria"
"CÓDIGO DE IDENTIFICACIÓN","D_DNBAF172"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"EXPONENTE","-2"
"01ene02","-"
"02ene02",3.312
"03ene02",3.337
"04ene02",3.367
"05ene02","-"
"06ene02","-"
"07ene02",3.415
"08ene02",3.373
"09ene02",3.420
"10ene02",3.450
"11ene02",3.501
"12ene02","-"
"13ene02","-"
"14ene02",3.420
"15ene02",3.444
"16ene02",3.449
"17ene02",3.470
"18ene02",3.475
"19ene02","-"
"20ene02","-"
"21ene02",3.486
"22ene02",3.519
"23ene02",3.558
"24ene02",3.563
"25ene02",3.610
"26ene02","-"
"27ene02","-"
"28ene02",3.649
"29ene02",3.616
"30ene02",3.572
"31ene02",3.624
"01feb02",3.633
"02feb02","-"
"03feb02","-"
"04feb02",3.575
"05feb02",3.541
"06feb02",3.528
"07feb02",3.515
"08feb02",3.572
"09feb02","-"
"10feb02","-"
"11feb02",3.589
"12feb02",3.564
"13feb02",3.625
"14feb02",3.622
"15feb02",3.603
"16feb02","-"
"17feb02","-"
"18feb02",3.594
"19feb02",3.588
"20feb02",3.618
"21feb02",3.632
"22feb02",3.594
"23feb02","-"
"24feb02","-"
"25feb02",3.598
"26feb02",3.633
"27feb02",3.636
"28feb02",3.613
"01mar02",3.617
"02mar02","-"
"03mar02","-"
"04mar02",3.674
"05mar02",3.676
"06mar02",3.708
"07mar02",3.714
"08mar02",3.774
"09mar02","-"
"10mar02","-"
"11mar02",3.774
"12mar02",3.774
"13mar02",3.800
"14mar02",3.781
"15mar02",3.837
"16mar02","-"
"17mar02","-"
"18mar02",3.841
"19mar02",3.844
"20mar02",3.835
"21mar02",3.893
"22mar02",3.902
"23mar02","-"
"24mar02","-"
"25mar02",3.971
"26mar02",3.986
"27mar02",3.957
"28mar02",3.953
"29mar02","-"
"30mar02","-"
"31mar02","-"
"01abr02","-"
