"DOCUMENTACIÓN","EC y EFC. Balance componentes. Créditos. A OSR. Ratio de dudosidad"
"UNIDADES","Euros"
"FRECUENCIA","Mensual"
"CÓDIGO DE IDENTIFICACIÓN","D_BEEA2020"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Euros"
"EXPONENTE","0"
"ene02",1.25
"feb02",1.25
"mar02",1.23
"abr02",1.24
"may02",1.26
"jun02",1.25
"jul02",1.24
"ago02",1.26
"sep02",1.25
"oct02",1.23
"nov02",1.20
"dic02",1.09
"ene03",1.09
"feb03",1.08
"mar03",1.07
"abr03",1.04
"may03",1.03
"jun03",1.02
"jul03",1.00
"ago03",1.00
"sep03",1.00
"oct03",0.98
"nov03",0.95
"dic03",0.96
"ene04",0.96
"feb04",0.94
"mar04",0.92
"abr04",0.89
"may04",0.87
"jun04",0.84
"jul04",0.82
"ago04",0.83
"sep04",0.82
"oct04",0.81
"nov04",0.80
"dic04",0.79
"ene05",0.81
"feb05",0.80
"mar05",0.79
"abr05",0.78
"may05",0.79
"jun05",0.85
"jul05",0.83
"ago05",0.86
"sep05",0.85
"oct05",0.85
"nov05",0.82
"dic05",0.80
"ene06",0.82
"feb06",0.81
"mar06",0.78
"abr06",0.79
"may06",0.79
"jun06",0.76
"jul06",0.76
"ago06",0.78
"sep06",0.77
"oct06",0.77
"nov06",0.74
"dic06",0.72
"ene07",0.75
"feb07",0.76
"mar07",0.75
"abr07",0.76
"may07",0.77
"jun07",0.76
"jul07",0.79
"ago07",0.84
"sep07",0.84
"oct07",0.89
"nov07",0.91
"dic07",0.92
"ene08",1.04
"feb08",1.13
"mar08",1.20
"abr08",1.38
"may08",1.55
"jun08",1.70
"jul08",2.23
"ago08",2.53
"sep08",2.63
"oct08",2.92
"nov08",3.21
"dic08",3.37
"ene09",3.89
"feb09",4.22
"mar09",4.26
"abr09",4.51
"may09",4.66
"jun09",4.60
"jul09",4.76
"ago09",4.94
"sep09",4.86
"oct09",4.99
"nov09",5.05
"dic09",5.08
"ene10",5.31
"feb10",5.40
"mar10",5.33
"abr10",5.49
"may10",5.50
"jun10",5.35
"jul10",5.48
"ago10",5.64
"sep10",5.51
"oct10",5.68
"nov10",5.69
"dic10",5.81
"ene11",6.06
"feb11",6.20
"mar11",6.11
"abr11",6.36
"may11",6.49
"jun11",6.69
"jul11",6.93
"ago11",7.15
"sep11",7.16
"oct11",7.42
"nov11",7.52
"dic11",7.84
"ene12",8.13
"feb12",8.30
"mar12",8.37
"abr12",8.73
"may12",8.96
"jun12",9.65
"jul12",10.09
"ago12",10.52
"sep12",10.71
"oct12",11.23
"nov12",11.38
"dic12",10.43
"ene13",10.78
"feb13",10.40
"mar13",10.47
"abr13",10.88
"may13",11.22
"jun13",11.63
"jul13",11.98
"ago13",12.14
"sep13",12.67
"oct13",13.00
"nov13",13.07
"dic13",13.62
"ene14",13.53
"feb14",13.43
"mar14",13.39
"abr14",13.45
"may14",13.41
"jun14",13.09
"jul14",13.14
"ago14",13.24
"sep14",13.02
"oct14",12.91
"nov14",12.73
"dic14",12.51
"ene15",12.55
"feb15",12.50
"mar15",12.09
"abr15",11.95
"may15",11.42
"jun15",11.00
"jul15",10.92
"ago15",10.95
"sep15",10.66
"oct15",10.53
"nov15",10.32
"dic15",10.12
"ene16",10.12
"feb16",10.10
"mar16",9.99
"abr16",9.91
"may16",9.84
"jun16",9.44
"jul16",9.38
"ago16",9.39
"sep16",9.21
"oct16",9.26
"nov16",9.21
"dic16",9.11
"ene17",9.17
"feb17",9.14
"mar17",8.83
"abr17",8.85
"may17",8.74
"jun17",8.41
"jul17",8.48
"ago17",8.49
"sep17",8.33
"oct17",8.22
"nov17",8.07
"dic17",7.79
"ene18",7.85
"feb18",7.81
"mar18",6.80
"abr18",6.77
"may18",6.68
"jun18",6.39
"jul18",6.35
"ago18",6.34
"sep18",6.18
"oct18",6.09
"nov18",6.01
"dic18",5.81
"ene19",5.88
"feb19",5.83
"mar19",5.73
"abr19",5.70
"may19",5.65
"jun19",5.36
"jul19",5.23
"ago19",5.23
"sep19",5.14
"oct19",5.10
"nov19",5.00
"dic19",4.79
"ene20",4.85
"feb20",4.82
"mar20",4.80
"abr20",4.75
"may20",4.73
"jun20",4.67
"jul20",4.72
"ago20",4.74
"sep20",4.58
"oct20",4.57
"nov20",4.57
"dic20",4.51
"ene21",4.54
"feb21",4.55
"mar21",4.51
"abr21",4.53
"may21",4.55
"jun21",4.40
"jul21",4.39
"ago21",4.43
"sep21",4.35
"oct21",4.36
"nov21",4.29
"dic21",4.29
"ene22",4.32
"feb22",4.31
"mar22",4.24
"abr22",4.19
"may22",4.18
"jun22",3.88
"jul22",3.85
"ago22",3.86
"sep22",3.79
"oct22",3.77
"nov22",3.68
"dic22",3.54
"ene23",3.56
"feb23",3.55
"mar23",3.51
"abr23",3.55
"may23",3.59
"jun23",3.50
"jul23",3.50
"ago23",3.56
"sep23",3.56
"oct23",3.60
"nov23",3.57
"dic23",3.54
"ene24",3.61
"feb24",3.62
"mar24",3.61
"abr24",3.60
"may24",3.62
"jun24",3.43
"jul24",3.42
"ago24",3.44
"sep24",3.43
"oct24",3.41
"nov24",3.38
"dic24",3.32
"ene25",3.33
"feb25",3.30
"mar25",3.21
"abr25",3.18
"may25",3.11
"jun25",2.97
"jul25",2.92
"ago25",2.93
"sep25",2.87
"oct25",2.84
"nov25",2.78
"dic25",2.71
"FUENTE","-"
"NOTAS",""
